"Title","Body","Submitted"
"17044","Why is “anti-poor” considered a bad word in politics?

If poor people squat on your land, you have a legal right to evict them, even though it’s anti-poor. If poor people peddle goods and throw trash on the sidewalks, you have the authority to remove them, even though it’s anti-poor. If poor people build squatter colonies along esteros and waterways, you have the moral obligation to relocate them, even though it’s anti-poor. Just because something is “anti-poor” doesn’t automatically mean it’s bad. In fact, some “anti-poor” policies may be good for society.","November 23, 2018 7:55:00 AM +08"
"17042","why do none of the sockets in the old lib work hsjsgfdhkfjklhs","November 23, 2018 7"
"17041","Stop using mental health to complain about school difficulty. Real life is much harder!!!","November 23, 2018 7"
"17040","To #ADMUFreedomWall17019 and #ADMUFreedomWall 16791

I feel you guys. I’m an oldie of the org I assume you are referring to and to be honest I only remained a member because a) I still somehow love my work, and b) I still have very very good friends in the org. Yes they are VERY cliquish. What completely sucks is that there is a sense of “coldness” between the cast and the production teams. Hell cast members don’t even say hi to you when you say hi to them in the theater. For fuck’s sake one time, after I’d just finished doing the show for lights, I stepped out and they told me “Thank you for watching!” as of I were part of the audience. They didn’t even know I’d been there for literally almost every show. This was done to me 4 TIMES. 4 fucking times like holy shit di niyo ba ako kilala or something I try to say hi to you people every fucking time.  To all the people who defend the org and say “Just go to HR. They’re there for a reason,” this isn’t a simple “HR” problem. There’s a problem with how the org has been systematically. There is a lot of nepotism. Some people get positions that they don’t deserve but only get because they’re friends with the PMs. For example, I once applied to be the part of a mainstage second semester production. Prior to applying, I had done 3 org productions, 3 productions for another org, and I’d even done professional work outside of Ateneo. Basically, and not to boast, I was THE ONE for the job. I didn’t get it. Instead, someone who was close with the PM and whose only experience in Technicals was working in set & props got the job. It was incredibly frustrating.  That being said, to the two newbies who have spoken out, I implore you to stay not because of the people. Stay for the craft. It can’t be denied that said org still has great productions (despite a lot of backstage frustration) and the performers are still among the best in the school and even in the Philippines. Love your work. It doesn’t mean you have to love the people along the way. Screw them.","November 23, 2018 7:19:00 AM +08"
"17039","i dreamt that this girl from my org and i were making momol and it's so weird and i don't want to like her in that way cause she's the first real friend i've had in that org","November 23, 2018 6"
"17038","What is the least painful way to kill yourself? I wanna die but like I just dont want to inflict too much physical pain on myself. Existing is just too much nowadays. Help a bro out my giving suggestions? Hehe","November 23, 2018 5"
"17037","Okay so I haven't had any sleep and was wandering around ateneo playing Pokemon Go when I was participating in a raid with someone else. We finished the raid and they seemed super nice and they tried to talk to me but I was super zoned out and was super slow in listening. I'm sorry I hope I didn't offend but thank you for helping me get the mareep and I applied to join the group you asked me to I think??","November 23, 2018 5"
"17036","any tips how to make landi with a girl you’re not close with but you want to be?","November 23, 2018 5"
"17035","#ADMUFreedomWall17028

I've heard that quite a number of them graduated from AHS.","November 23, 2018 4:19:09 AM +08"
"17034","So which is better, Dell Xps 13 9370 or 2018 Macbook Pro 13""??? Need them opinions :D","November 23, 2018 2"
"17033","I WANT LOVE","November 23, 2018 2:0"
"17032","When you just wanna get to the Sakamura stall in gonz but the line to Sutra is so long na abot hanggang hunger buster and you can't get through.","November 23, 2018 1"
"17031","We were living so peacefully at the beginning, until people from outside these islands came and fucked us in so many ways.

It's ironic though. At the end of it all, it wouldn't be foreigners but our very own brother, a fellow Filipino, who would screw us over and sell us out.","November 23, 2018 1:32:47 AM +08"
"17030","Let's just remember, that there was a point in history where we were privileged to have something as beautiful as a nation - a land we could call home

Years from now, our grandkids wouldn't have the same privilege. This archipelago will go on as a province of another state, but this archipelago as the Philippines will cease to exist. Every concept or notion of ""Filipino"" will cease to exist. When your grandchildren go to you, they will ask you what it was like to be Filipino. And you will tell them your stories with tears in your eyes, knowing that there was a moment in history where a nation called the Philippines existed, and you were a part of that history.","November 23, 2018 1:27:42 AM +08"
"17029","Tangina naman oh kahit winasak mo ako, kahit araw-araw akong namamatay dahil sa'yo... kahit ang sakit sakit na talaga... grabe sobrang lala. Bakit hindi pa rin nagbabago pakiramdam ko para sa iyo","November 23, 2018 1"
"17028","Am i the only atenean na natatakot sa nangyayari inside upd? Like this guys from downsilon can kill people with guns without anyone noticing them? Someone please stop those barbaric pigs.","November 23, 2018 1"
"17027","I miss my S.O. back at home so bad... I've been restless for the past couple of weeks and I can't wait to go home. I've been super nervous and fidgety ever since she stopped replying to my messages often. I tell myself ""She's busy, she's studying, she's with her friends, you gotta give her some space man."" But no matter how hard I try, that annoying thought lingers in my mind that she isn't interested in me anymore. I can't even tell her how I feel because she rarely ever replies. And yet, I tell myself ""She's busy with academics, give her space and it will all work out in the end... I hope :( ""","November 23, 2018 12:57:02 AM +08"
"17026","Hayss. This group.","November 23, 2018 12"
"17025","i'd take photos of the Carrie photographer but photography isn't allowed daw in the theater :(","November 23, 2018 12"
"17024","people trying to save endangered species want to see the animals fuck","November 23, 2018 12"
"17023","What I expected from Filipino classes:

A great class that focuses on Filipino culture, linguistics, history and modern politics, educating students with solid information worthy of one of the top schools in the country. What I got: A teacher which uses 1 hour to rant about that ""you gotta work work"" Gatorade ad, saying that it's brainwashing people to work a minimum wage job then die in the capitalist system instead of you know...just being an ad trying to target a specific audience of athletes that relate to the routine training that athletes in the video endure?","November 23, 2018 12:23:00 AM +08"
"17022","Should I give my ex another chance?I want too. I know he loves me BUT I don't know if it's worth it anymore huhhuhu","November 23, 2018 12"
"17021","Favorite Pokemon Game?

((Honestly Pokemon Snap was weird but they sorta re-added the concept in Pokemon SuMo))","November 23, 2018 12:14:27 AM +08"
"17020","I always prayed that I'd never get anybody pregnant before I got a decent job. A year later, I found out I was gay. So, prayer answered I guess.","November 23, 2018 12"
"17019","#ADMUFreedomWall16971 Hi anon! I used to be a newbie of THAT org too and it had to be the worst experience of my life. It felt as if I was working with people with the primary intention of receiving attention and a high dose of fame. It was disgusting. There were good people sure but the whole working environment was terrifying. Working with them set the mood for my freshie life back then and I can say I dreaded my life. I am thankful to have gotten out of it. I still wish they would change for despite everything, I remain hopeful for them.
 To this year's newbies, save yourselves. If you choose to stay, save the org and change it for the better. Do it for your craft, not for your reputation.","November 23, 2018 12:10:31 AM +08"
"17018","Am I the only one who's not close with my block?? After looking at Aegis block photoshoots, they look so close to each other.. :((","November 23, 2018 12"
"17017","2016: oh wow d30's such a strongman leader
2018: ""I love Xi JinPing""","November 22, 2018 11:23:24 PM +08"
"17016","#ADMUFreedomWall16837 
alam mo yung mas masakit?
.
 .
 yung kinuwento mo sa kaibigan mo crush mo 
 at naging sila...","November 22, 2018 11:13:43 PM +08"
"17015","I’m ugly and this makes me sad ☹️","November 22, 2018 11"
"17014","I just really really wanted to say im so FUCKINNNNNG sad and no one would ever think im the one to send this cause everyone thinks im always happy sighhhhhhhhhhhhhh","November 22, 2018 10"
"17013","""An empire toppled by its enemies can rise again. But one that crumbles from within, that's dead. Forever.""

- Helmut Zemo, Civil War (2016)","November 22, 2018 10:52:55 PM +08"
"17012","OAA ask ko lang po kelan dadating allowance? Thanks po.","November 22, 2018 10"
"17011","DON'T SLAM ME FOR MY MUSICAL PREFERENCES! YES, I AM A DIEHARD ROCK 'N' ROLL LISTENER WHO ACTS REBELLIOUS BUT CAN YOU PLEASE PLEASE PLEASE SHUT THE FUCK UP IF YOU HAVE NOTHING NICE TO SAY ABOUT MY MUSIC! SORRY IF I ACT REALLY RAUNCHY TOWARDS MODERN POP MUSIC AT TIMES, BUT SOMETIMES IT'S ALL ABOUT THE SUBSTANCE THAT THE MUSIC GIVES, NOT THE POPULARITY AND ""HYPE"" THAT ALL OF THOSE WHIFFLE-WAFFLES OUT THERE TRY TO RUB OUR FACES WITH. DEAL WITH THAT.","November 22, 2018 10"
"17010","PLEASE SUBSCRIBE TO PEWDIEPIE!!!

I'm doing my part 8)","November 22, 2018 10:46:02 PM +08"
"17009","I LOVE my class so much, but sometimes I just feel like they're like vanilla ice cream and my friends and I in my small friend group are like the fun flavors like cookies and cream, rocky road, etc. The rest of them can just be such a fucking bore. Like I don't hate them I just feel like sometimes I wanna say/do something crazy and outlandish but because of their sweet vanilla nature, they'd just smile and say ""um no it's fine"" and pretend it never happened. So right now I'm just trying to be friends with them because they really are genuine and nice people they can just be so bland, boring and basic most of the time.","November 22, 2018 10"
"17008","i was so bobo way back in ateneo days compared to my classmates. They keep having grades like A and B+ and ako naman panay D. I really thought I was not gonna graduate pero puta I did, and now I'm working and my job pays me great. Wag kayo susuko guys, laging may light in the end of tunnel or kung ano man yan dinadanan mo.","November 22, 2018 10"
"17007","anyone know pokemon music from gen 1 to gen 4 maybe even gen 5 and 6?","November 22, 2018 10"
"17006","Happy Thanksgiving everyone! Hope ya'll enjoyed your Turkey and Pies!","November 22, 2018 10"
"17005","I HATE FRAUDULENT & MISLEADING NETWORKING PEOPLE

THIS POST WAS MADE TO WARN PEOPLE ABOUT NETWORKING AND HOW FRAUDULENT THEIR REPS ARE I know it's not good to generalize but there was this brand (rhymes with MuSkeen) who invited me for a meeting about a job opening in my field. Already skeptical about it, I told them that I'll think about it. Joke's on me for worrying to come off as impolite if I say no.  When the day came that he followed up for my confirmation, I straight up asked the person if it was a network marketing event. He literally said NO THAT IT WASNT. Believing him, I went to the meeting because I trusted him. THAT'S WHERE I MADE THE BIGGEST MISTAKE.  The speakers of the event were going on about how ""Network Marketing was the best way to earn money"" UGH FUQ IVE BEEN LIED TO AND I FELL FOR IT  I'm already laughing at myself for falling for this. But I'm sharing this experience to y'all AS A CAUTIONARY TALE to avoid people messaging you about a ""business venture"" or a ""business opportunity"", take everything with a grain of salt. If they won't tell you what brand they're working for, don't waste more time entertaining these shady people. If you already think they're dodgey, trust your gut. If you can't find them on the first page of Google, don't even think about it. Network marketers/pyramid scheme scammers make people on the higher wrungs richer. They're stigmatized for a reason. All these skincare/health pharma things may be the bread and butter to some but I hope these people DONT LIE TO PEOPLE JUST SO THEY CAN GET THEIR WAY. It's not impolite to step away when you realize it's a fraudulent invitation.  That's 2.5 hours of my life that I won't get back. HOW DO THESE PEOPLE SLEEP","November 22, 2018 10:36:55 PM +08"
"17004","I am so angry at my class for having a swear jar","November 22, 2018 10"
"17003","It's almost the end of the sem

Life is a mood","November 22, 2018 10:30:29 PM +08"
"17002","So there is these group of people who will invite you to a ""marketing event"" at Octagon Plaza in Ortigas...

BUT WAIT UP PEOPLE IT IS A SCAM BECAUSE ALL THAT IS IS MAKING U THINK NETWORKING IS BEST MARKETING FOR THE SOLE INTENTION OF BLINDING YOU SELL THEIR PRODUCTS if this is not some dark capitalist shit or a pyramid scheme idk what is","November 22, 2018 10:27:01 PM +08"
"17001","fuck, shit,bitch,gago,putangina,

sorry I'm just letting out swears that I can't say because my class had to have the shitty idea of having a swear jar. I know it 's for the class funds but I would HAPPILY donate to the class funds . . . . IF I CAN JUST LET OUT MY EMOTIONS GODDAMMIT!!","November 22, 2018 10:21:17 PM +08"
"17000","Looking for a date in UP Lantern parade. Isko here. Sisiguraduhin kong hindi malungkot ang Pasko mo. Sasamahan pa kitang mag Simbang Gabi sa Ateneo, pwede rin sa UP. :)","November 22, 2018 10"
"16999","you've been a good friend who treats me well
but the thing is i'm nothing special to you at all
i've realized it's just how you are with everyone
 but the thing is no one's ever treated me like this
 so i'm sorry but i can't help it you're special to me","November 22, 2018 10:16:59 PM +08"
"16998","A poor guy wasn't able to go to his retreat because of something so stupid and I feel like I'm partly responsible because I could have done something but I didn't because I was afraid he was too far gone, but clearly he needed someone to be there for him. I just hope he finds the love he needs.","November 22, 2018 10"
"16997","I still have a soft spot for you, and I'm always going to love you, but love means making sure the people you care about are happy and the best versions of themselves. Sometimes I find myself wishing that at the end, tayo pa rin yung magkakatuluyan, but whenever I see you happy with him, I just know that I have to accept that it's not going to happen. Ang hirap talaga tanggapin that i'm never going to be enough for you, but here's to what we could have been, where we are now, and where we'll be.","November 22, 2018 10"
"16996","OMG CAN WE ALSO PLEASE HAVE THIS??????????? revolutionary

Actual links:
 tiny.cc/Meets2PickForm
 tiny.cc/Meets2PickMenu","November 22, 2018 9:58:55 PM +08"
"16995","I believe school has conditioned us to be perfectionists; excelling not for the purpose of learning and improvement, but from the fear of failure and inadequacy. It's embedded in our brains; the smartest guys get rewarded; the failures don't graduate. But we aren't just students; we aren't robots. We are people.

We are not limited to the things that try to put us in a box. We all have our own form of beauty and intelligence and our lives are about using it to it's fullest potential. It's not about grades. It's not about what you get, but who you become.  So if you're reading this, and you're going through a tough time in these final weeks, remember that while you always do your best, never think that you have something to prove to anyone, that you're trying to validate something. Control what you can control. Existence precedes essence.","November 22, 2018 9:55:46 PM +08"
"16994","Can we please stop downplaying other courses? BS Management is not a ""basic course.""

You have someone calling you out for having mediocre grades, but what does a card of A's do with your happiness? So what if everyone in the family is smart? Does that mean we have to also? What if we'd much rather be active in orgs or want to be with our friends? Can we stop judging one another and support each other's growth and happiness instead? Damn.","November 22, 2018 9:48:43 PM +08"
"16993","charot is good for your eyes","November 22, 2018 9"
"16992","19 na taong gulang pero isip bata pa rin","November 22, 2018 9"
"16991","So I heard that the AEGIS shoot for ICA, St. Jude and Grace are all taking place at the same time

ISO, prepare for the Chinese invasion","November 22, 2018 9:43:48 PM +08"
"16990","my mood rn: mood","November 22, 2018 9:3"
"16989","tangina mo naman","November 22, 2018 9:3"
"16988","Is it normal to doubt ur man kapag may nag notif about sa grindr and other shit? sabi niya hindi na daw siya active pero why won't he delete those fucking apps.
tapos he said ""kung nag ddoubt ka ibig sabihin may ginawa kang masama"", pang hinayupak ung sagot eh
Hindi ako bobo para hindi ko malaman na you're fucking cheating.
 tapos he won't change ung bio niya sa twitter 
 ""Fairview Hot Body 20 Dm if you're interested"" LIKEE POTAAAA LNG. FEELING SINGLE SI GAGO.
 plus ung pinag llike niya na tweets, PURO TITE. IWWW pero wala na ako magagawa eh. cheer ko nlng siya GO POKPOK!!","November 22, 2018 9:29:32 PM +08"
"16987","#ADMUFreedomWall16906

Hi crushie sana pansinin mo ko :< nakinjure ako kanina di mo ba ko nakita :<<<","November 22, 2018 9:17:42 PM +08"
"16986","bat wala kong facial hair ampota","November 22, 2018 9"
"16985","Hello how do you leave a band po","November 22, 2018 8"
"16984","Tangina naman. Daming tao naglalandi sakin, si crushie lang hindi.

HOY CRUSH, UMAYOS KA NAMAN OH. 
 Nyeta ka.  Kung sino ung gusto mo lumandi sayo, siya pa talaga ung hindi eh.","November 22, 2018 8:54:30 PM +08"
"16983","if the Philippines becomes a province of China, then technically I'll be chinito, so maybe crush will like me","November 22, 2018 8"
"16982","What do you ~hypothetically~ do if you get a crush on a prof? asking for a friend...

~ConfusedFreshie","November 22, 2018 8:47:53 PM +08"
"16981","Hi! Can we organize some event where we get to have the consciousness examen (5 minutes tops) in the chapel or some other place every Friday? :)","November 22, 2018 8"
"16980","Hi guys! Do we have orgs that aim to serve indigenous people? :)

I heard about one org that does photo-ops with them and another that like to do focus group discussions and intellectual talks ganun-ganun. Pero they sound corny and don't really do much for the community daw...? idk  But i wanted to know ifwe had more serious orgs? Like, not just feel good and pa-smart na groups. Something more impactful ganun. Hope somebody can point me in the right direction! :) - SOHphomore","November 22, 2018 8:23:00 PM +08"
"16979","Lemon Stop >>> Coco","November 22, 2018 8"
"16978","#FWcurrent

How did DLSU become the number 2 university in the PH while we are getting left behind?","November 22, 2018 8:14:55 PM +08"
"16977","Are we allowed to skate in campus?","November 22, 2018 8"
"16976","Whenever someone in the Freedom Wall starts ranting about politics","November 22, 2018 8"
"16975","Support niyo bandscreening ng AA sa sat!!!! THANK YOUUUUUUUUU","November 22, 2018 7"
"16974","PUTTING THE SOSE THEORY TO THE TEST: Who is richer, the average SOH major or the average SOSE major? The SOSE supremacist would contend that SOH majors are rich and so could afford to be SOH majors where the average SOH job pays less than the average SOSE job. Emphasis on average: Do not go into tails! I mean average in the same way you cannot cross a river just because it is on average 3 feet deep. On the other hand, parents of lower net worth will be more inclined to sway their kids towards SOSE, not necessarily just out of highschool but from the very beginning of the kids' lives. Thus, the kids are not forced into SOSE. Rather, the kids are shown the wonders of math and science from their birth. SOH majors' parents are likely rich or SOH majors themselves.","November 22, 2018 7"
"16973","Is there a way to have a LAN PARTY with the Mateo down computers?","November 22, 2018 7"
"16972","Safe af","November 22, 2018 7"
"16971","Here's the real tea about the [theatre org]

1. [theatre org] is an org made up of cliques. If you don't have a clique of your own, you're gonna live a miserable, lonely life
 2. Made a mistake? Don't worry. They'll only judge EVERY. MOVE. YOU. MAKE. and reeeaaalllyyy make you feel unwelcome every time you walk in the room
 3. Yes, these are bourgeois kids trying to make it to broadway so expect the bitchy mayabang attitude
 4. Fake ass bitches who go ""awww i love you"" or ""you're doing great sweetie"" or ""omg you're amazing"" but back-stabs you as soon as they see you're not listening to them newbies, save yourselves","November 22, 2018 7:37:53 PM +08"
"16970","Does anybody know of a blonde dude wearing eyeglasses? He brings his big guitar sometimes and frequently passes by CTC/SOM. Asking for a friend","November 22, 2018 7"
"16969","ever since that guy posted about students being in regis, the brother/sisterhood that there were once between us just suddenly vanished.

it's sad though, that ever since then, we were generalized to be rich, apathetic, entitled people. but the truth is, there are still some people here who fight for the same rights and advocacies as you do. and i mean, come on, you're not perfect either. lahat din kayo may mga pagkakamali at may mga hipokrito pa rin sa inyo.  the point of this post is really to not generalize. it's sad that we're pitting against each other when in the end, tayo-tayo lang din naman yung mga may pinaglalaban sa bansang ito.","November 22, 2018 6:51:31 PM +08"
"16968","TANGINA NG MGA NANG I-INBOX ZONE MGA WALA KAYONG PUSO AMPUTA","November 22, 2018 6"
"16967","3 units lang ang thesis, the same as your theo, philo, histo and all your other core classes. 'Yung iba more: may 5, may 6 - the same weight as your majors, maybe even less. Treat your thesis the way you treat all your other classes; treat all your other classes the way you'd treat your thesis. Don't exhaust all your effort into one subject. Kailangan niyo lahat para grumaduate. Hindi lang 3. Hindi lang 5. Hindi lang 6.","November 22, 2018 6"
"16966","is it possible for me, a senior, to like a freshie :( she’s so cute kasi eh in a shy and unassuming manner and i am weak for those types","November 22, 2018 6"
"16965","""I believe the best way to break this wall is to climb it. You do it slowly, step by step. You don't rush and say it immediately, 'They're gonna like me!' You have to build a relationship as with anything. You build it slowly.""

https://youtu.be/_Qh5RYs0q6o","November 22, 2018 5:48:32 PM +08"
"16964","Hello ADMU FW. I rly need ur help :((((( I like this girl pero idk how to talk and make landi :(((((( plus, shes always with her friends so im kinda scared to like try to join her squad :((((((((((( oh and btw im socially awkward and I think she is din. Pls help legit i need tips :(((((","November 22, 2018 5"
"16963","Ayt im finally ready to rally","November 22, 2018 5"
"16962","AHS x ADMU 2019 AEGIS shoot please","November 22, 2018 4"
"16961","Ang sungit ng ate sa SOM photocopying station :/","November 22, 2018 4"
"16960","I wish i could show people my true self, especially to her. Unfortunately, I'll always be the person who can't even create a sustainable conversation with her. ugh. Torpeeee probs.","November 22, 2018 4"
"16959","I've been thinking about this for quite some time now, and I'm pretty sure I'm bi. The problem is I don't know how to tell my friends and family. I think my friends would still accept me, but I'm not so sure if my family will do the same. Well, I think my mom would understand and support me, but I don't think my dad would. I'm so scared. It's really heavy keeping this to myself. :((","November 22, 2018 4"
"16958","Asan na yung batang may dahon sa ulo?","November 22, 2018 4"
"16957","Subscribe to pewdiepie

I'm doing my part, now do yours","November 22, 2018 3:54:08 PM +08"
"16956","if she says ""me also"" (with a tagalog accent in the ""also"") in agreement instead of ""me, too!"", you know she's from SOM","November 22, 2018 3"
"16955","HELLO EVERYONE PLEASE HELP ME FIND MY FILI NOTEBOOK ITS A MUJI BUT IT DOESNT HAVE A NAME AND KASAMA NYA ALSO A MUJI PENCIL CASE WITH 2 PENS INSIDE AND A RULER !!! PLS I NEED IT FOR MY FINALS :(( LAST SEEN KOSTKA 304 LAST TUESDAY NOV30 😢","November 22, 2018 2"
"16954","I need help with refunding my japanese lessons enrollment at Yuno (Xanland place,in front of ADMU). I deposited for the first half of my lessons already but they won't let me refund it anymore, I need to transfer it to someone else. SO, I need to find someone who's about to enroll and just let them take my slot instead. In exchange for helping out, you can pay 2k less.

Just comment below and I'll send you a message.","November 22, 2018 2:11:45 PM +08"
"16954","Hey, double standards, sexism, and prejudice applies to both Men and Women! So how about instead of believing your a victim grow the fuck up and watch a Ben Shapiro video you fockin snowflake","November 22, 2018 2"
"16953","I mean the react sticker system is cool and all, but its still confusing especially in certain news posts. Are the angry reacts because of being angry at the news or at the website for attacking a certain someone?","November 22, 2018 1"
"16952","""When you try your best but you don't succeed..""

This line from Coldplay's Fix You keeps replaying in my head.. this is how I feel with Philo 101.. :(( I really do try my best to explain the topics in the exams but i still get a low grade :(( How to get a good grade in Philo?! Please help huhuhu","November 22, 2018 12:49:03 PM +08"
"16951","Unpopular Opinion:

If the Chinese were to take our islands in the West Philippine Sea, I would gladly let them if they had a proven record of being good environmental stewards. The thing is, they don't. They take tiger bone powder and rhino horn as medicine, eat sharksfin soup, and reclaim land by building on top of coral reefs. They also smoke like chimneys and throw the butts in the sea and on the street. Not all Chinese are like this. But everywhere, we see those who are. And these are the people we are entrusting with our coral reefs and forests. If I were the president, I would bargain our rightful land away to some foreign government that actually gave a damn for the environment.","November 22, 2018 12:15:03 PM +08"
"16950","Nietzsche is dead. -God","November 22, 2018 12"
"16949","tag your cute math major friends <3","November 22, 2018 11"
"16948","Hii may aattend ba ng RiB here hehe worth it ba  :)) and is it full house??","November 22, 2018 11"
"16947","idk how people still chew with their mouths fricking open. grow up","November 22, 2018 11"
"16946","Is Jef the Eagle's admin a senior? What are your plans for the page after you graduate :o","November 22, 2018 9"
"16945","Can anyone who is taking baseball/softball for PE please tell me what it's like? As in, do you play games? And how do they teach you the sport? I'm very interested since I'm considering it as my PE for next semester.","November 22, 2018 8"
"16944","It is with great sadness that I acknowledge the phasing out of the great Bon Chon gangnam bao. Do these monsters really think they can replace you with that nasty double loaded sandwich? I don't even see Chops Rice Box on the menu anymore... Another bad omen.","November 22, 2018 8"
"16943","You know what's annoying?

Facing the fact that you are jealous but also knowing that you're not in the position to be because the both of you are friends.","November 22, 2018 8:06:34 AM +08"
"16942","Why can't I grow facial hair ampota","November 22, 2018 7"
"16941","Watch out, Ateneans. I'm here to tell you about Scammy S, an Atenean graduate who runs a scam.

He markets it as a ""youth development"" program in barangays. Supposedly, he incubates projects in the barangay that can improve it. The catch? He asks for an insane amount of money (hundreds of thousands) from the LGU to run his ""program"" but how many of those projects actually come to life? Hmm... And where does all that money go? Hmm... He also sends people to the ""UN"" and asks for a crazy amount of money too. I heard the participants of his ""training program"" for this ""UN thing"" always have a ton of complaints because it's not run well.  Is this what Ateneo taught us? Is this ""development"" or is Scammy S just using people and barangays for money? Oh and Scammy S also likes to take credit for his team's work without doing any of the actual work. He just likes the photo ops in high level places so he looks cool. I think three full core teams have quit under him because of his lack of professionalism. Come on, Scammy S!  Ateneans, you have been warned! Don't fall for pretty marketing with no substance!","November 22, 2018 7:15:39 AM +08"
"16940","I’ve been seeing this guy in Starbucks Katip who I think is cute. He wears a MEA lanyard and wears glasses. I heard his friends call him him Julius? Or Juju?? Idk I wasn’t able to hear clearly. But yea, if anyone can tag him, would appreciate it. Rapsa niya hahahha","November 22, 2018 7"
"16939","Ang landi","November 22, 2018 7"
"16938","A great day to you all except to the little shit who stole my umbrella.","November 22, 2018 6"
"16937","Wholesome shit only my doods","November 22, 2018 5"
"16936","People are losing their shit to 8D audio

IT'S JUST BINAURAL AUDIO SPINNING AROUND FFS AND IT'S ANNOYING","November 22, 2018 4:47:33 AM +08"
"16935","I really like this MGT girl from my english class but idk if she’s taken or interested :( I wish I wasn’t so shy, dammit

send help how to make landi po - SOSE freshie","November 22, 2018 2:48:28 AM +08"
"16934","When you feel like you're special to him
But guess what
It's just your feelings
 fleeting Does it matter if they will like you back?
 It never does, because that's when you realize, there is no point in telling them you love them when they can't love you back.","November 22, 2018 2:41:54 AM +08"
"16933","Can we have prom

I just wanna slow dance with the girl i like","November 22, 2018 2:36:50 AM +08"
